id sire dam
1 1 0 0
2 2 0 0
3 3 0 0
4 4 0 0
5 5 0 0
6 6 0 0
7 7 0 0
8 8 0 0
9 9 0 0
10 10 0 0
11 11 0 0
12 12 0 0
13 13 0 0
14 14 0 0
15 15 0 0
16 16 0 0
17 17 0 0
18 18 0 0
19 19 0 0
20 20 0 0
21 21 0 0
22 22 0 0
23 23 0 0
24 24 0 0
25 25 0 0
26 26 0 0
27 27 0 0
28 28 0 0
29 29 0 0
30 30 0 0
31 31 0 0
32 32 0 0
33 33 0 0
34 34 0 0
35 35 0 0
36 36 0 0
37 37 0 0
38 38 0 0
39 39 0 0
40 40 0 0
41 41 0 0
42 42 0 0
43 43 0 0
44 44 0 0
45 45 0 0
46 46 0 0
47 47 0 0
48 48 0 0
49 49 0 0
50 50 0 0
51 51 0 0
52 52 0 0
53 53 0 0
54 54 0 0
55 55 0 0
56 56 0 0
57 57 0 0
58 58 0 0
59 59 0 0
60 60 0 0
61 61 0 0
62 62 0 0
63 63 0 0
64 64 0 0
65 65 0 0
66 66 0 0
67 67 0 0
68 68 0 0
69 69 0 0
70 70 0 0
71 71 0 0
72 72 0 0
73 73 0 0
74 74 0 0
75 75 0 0
76 76 0 0
77 77 0 0
78 78 0 0
79 79 0 0
80 80 0 0
81 81 0 0
82 82 0 0
83 83 0 0
84 84 0 0
85 85 0 0
86 86 0 0
87 87 0 0
88 88 0 0
89 89 0 0
90 90 0 0
91 91 0 0
92 92 0 0
93 93 0 0
94 94 0 0
95 95 0 0
96 96 0 0
97 97 0 0
98 98 0 0
99 99 0 0
100 100 0 0
101 101 69 60
102 102 69 60
103 103 69 60
104 104 69 60
105 105 69 60
106 106 69 60
107 107 69 60
108 108 69 60
109 109 69 60
110 110 69 60
111 111 65 14
112 112 65 14
113 113 65 14
114 114 65 14
115 115 65 14
116 116 65 14
117 117 65 14
118 118 65 14
119 119 65 14
120 120 65 14
121 121 61 10
122 122 61 10
123 123 61 10
124 124 61 10
125 125 61 10
126 126 61 10
127 127 61 10
128 128 61 10
129 129 61 10
130 130 61 10
131 131 97 76
132 132 97 76
133 133 97 76
134 134 97 76
135 135 97 76
136 136 97 76
137 137 97 76
138 138 97 76
139 139 97 76
140 140 97 76
141 141 23 12
142 142 23 12
143 143 23 12
144 144 23 12
145 145 23 12
146 146 23 12
147 147 23 12
148 148 23 12
149 149 23 12
150 150 23 12
151 151 83 86
152 152 83 86
153 153 83 86
154 154 83 86
155 155 83 86
156 156 83 86
157 157 83 86
158 158 83 86
159 159 83 86
160 160 83 86
161 161 77 20
162 162 77 20
163 163 77 20
164 164 77 20
165 165 77 20
166 166 77 20
167 167 77 20
168 168 77 20
169 169 77 20
170 170 77 20
171 171 13 90
172 172 13 90
173 173 13 90
174 174 13 90
175 175 13 90
176 176 13 90
177 177 13 90
178 178 13 90
179 179 13 90
180 180 13 90
181 181 1 22
182 182 1 22
183 183 1 22
184 184 1 22
185 185 1 22
186 186 1 22
187 187 1 22
188 188 1 22
189 189 1 22
190 190 1 22
191 191 35 24
192 192 35 24
193 193 35 24
194 194 35 24
195 195 35 24
196 196 35 24
197 197 35 24
198 198 35 24
199 199 35 24
200 200 35 24
201 201 191 200
202 202 191 200
203 203 191 200
204 204 191 200
205 205 191 200
206 206 191 200
207 207 191 200
208 208 191 200
209 209 191 200
210 210 191 200
211 211 121 182
212 212 121 182
213 213 121 182
214 214 121 182
215 215 121 182
216 216 121 182
217 217 121 182
218 218 121 182
219 219 121 182
220 220 121 182
221 221 139 144
222 222 139 144
223 223 139 144
224 224 139 144
225 225 139 144
226 226 139 144
227 227 139 144
228 228 139 144
229 229 139 144
230 230 139 144
231 231 165 198
232 232 165 198
233 233 165 198
234 234 165 198
235 235 165 198
236 236 165 198
237 237 165 198
238 238 165 198
239 239 165 198
240 240 165 198
241 241 113 160
242 242 113 160
243 243 113 160
244 244 113 160
245 245 113 160
246 246 113 160
247 247 113 160
248 248 113 160
249 249 113 160
250 250 113 160
251 251 183 152
252 252 183 152
253 253 183 152
254 254 183 152
255 255 183 152
256 256 183 152
257 257 183 152
258 258 183 152
259 259 183 152
260 260 183 152
261 261 135 194
262 262 135 194
263 263 135 194
264 264 135 194
265 265 135 194
266 266 135 194
267 267 135 194
268 268 135 194
269 269 135 194
270 270 135 194
271 271 185 124
272 272 185 124
273 273 185 124
274 274 185 124
275 275 185 124
276 276 185 124
277 277 185 124
278 278 185 124
279 279 185 124
280 280 185 124
281 281 189 186
282 282 189 186
283 283 189 186
284 284 189 186
285 285 189 186
286 286 189 186
287 287 189 186
288 288 189 186
289 289 189 186
290 290 189 186
291 291 105 156
292 292 105 156
293 293 105 156
294 294 105 156
295 295 105 156
296 296 105 156
297 297 105 156
298 298 105 156
299 299 105 156
300 300 105 156
301 301 285 230
302 302 285 230
303 303 285 230
304 304 285 230
305 305 285 230
306 306 285 230
307 307 285 230
308 308 285 230
309 309 285 230
310 310 285 230
311 311 283 222
312 312 283 222
313 313 283 222
314 314 283 222
315 315 283 222
316 316 283 222
317 317 283 222
318 318 283 222
319 319 283 222
320 320 283 222
321 321 295 268
322 322 295 268
323 323 295 268
324 324 295 268
325 325 295 268
326 326 295 268
327 327 295 268
328 328 295 268
329 329 295 268
330 330 295 268
331 331 241 238
332 332 241 238
333 333 241 238
334 334 241 238
335 335 241 238
336 336 241 238
337 337 241 238
338 338 241 238
339 339 241 238
340 340 241 238
341 341 223 276
342 342 223 276
343 343 223 276
344 344 223 276
345 345 223 276
346 346 223 276
347 347 223 276
348 348 223 276
349 349 223 276
350 350 223 276
351 351 271 278
352 352 271 278
353 353 271 278
354 354 271 278
355 355 271 278
356 356 271 278
357 357 271 278
358 358 271 278
359 359 271 278
360 360 271 278
361 361 247 258
362 362 247 258
363 363 247 258
364 364 247 258
365 365 247 258
366 366 247 258
367 367 247 258
368 368 247 258
369 369 247 258
370 370 247 258
371 371 273 270
372 372 273 270
373 373 273 270
374 374 273 270
375 375 273 270
376 376 273 270
377 377 273 270
378 378 273 270
379 379 273 270
380 380 273 270
381 381 257 264
382 382 257 264
383 383 257 264
384 384 257 264
385 385 257 264
386 386 257 264
387 387 257 264
388 388 257 264
389 389 257 264
390 390 257 264
391 391 201 292
392 392 201 292
393 393 201 292
394 394 201 292
395 395 201 292
396 396 201 292
397 397 201 292
398 398 201 292
399 399 201 292
400 400 201 292
401 401 331 332
402 402 331 332
403 403 331 332
404 404 331 332
405 405 331 332
406 406 331 332
407 407 331 332
408 408 331 332
409 409 331 332
410 410 331 332
411 411 367 356
412 412 367 356
413 413 367 356
414 414 367 356
415 415 367 356
416 416 367 356
417 417 367 356
418 418 367 356
419 419 367 356
420 420 367 356
421 421 317 314
422 422 317 314
423 423 317 314
424 424 317 314
425 425 317 314
426 426 317 314
427 427 317 314
428 428 317 314
429 429 317 314
430 430 317 314
431 431 399 360
432 432 399 360
433 433 399 360
434 434 399 360
435 435 399 360
436 436 399 360
437 437 399 360
438 438 399 360
439 439 399 360
440 440 399 360
441 441 339 358
442 442 339 358
443 443 339 358
444 444 339 358
445 445 339 358
